S,I,R
95.0,5.0,0.0
95.0,5.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
94.0,6.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,7.0,0.0
93.0,6.0,1.0
92.0,7.0,1.0
92.0,7.0,1.0
92.0,7.0,1.0
92.0,7.0,1.0
92.0,7.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
91.0,8.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
90.0,9.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
89.0,10.0,1.0
