S,I,R,SuperSpreader
197.0,13.0,0.0,0.0
197.0,13.0,0.0,0.0
197.0,13.0,0.0,0.0
195.0,15.0,0.0,0.0
194.0,16.0,0.0,0.0
192.0,17.0,1.0,0.0
191.0,17.0,2.0,0.0
189.0,19.0,2.0,0.0
189.0,19.0,2.0,0.0
189.0,19.0,2.0,0.0
188.0,20.0,2.0,0.0
188.0,20.0,2.0,0.0
188.0,20.0,2.0,0.0
187.0,21.0,2.0,0.0
186.0,22.0,2.0,0.0
186.0,22.0,2.0,0.0
185.0,23.0,2.0,0.0
185.0,23.0,2.0,0.0
185.0,23.0,2.0,0.0
185.0,23.0,2.0,0.0
185.0,23.0,2.0,0.0
185.0,23.0,2.0,0.0
185.0,23.0,2.0,0.0
184.0,24.0,2.0,0.0
184.0,24.0,2.0,0.0
184.0,24.0,2.0,0.0
184.0,24.0,2.0,0.0
184.0,24.0,2.0,0.0
184.0,24.0,2.0,0.0
184.0,24.0,2.0,0.0
184.0,24.0,2.0,0.0
184.0,24.0,2.0,0.0
183.0,25.0,2.0,0.0
181.0,27.0,2.0,0.0
181.0,27.0,2.0,0.0
181.0,27.0,2.0,0.0
181.0,27.0,2.0,0.0
181.0,27.0,2.0,0.0
180.0,28.0,2.0,0.0
180.0,28.0,2.0,0.0
180.0,28.0,2.0,0.0
179.0,29.0,2.0,0.0
179.0,29.0,2.0,0.0
179.0,29.0,2.0,0.0
178.0,30.0,2.0,0.0
178.0,30.0,2.0,0.0
178.0,29.0,3.0,0.0
177.0,30.0,3.0,0.0
177.0,30.0,3.0,0.0
177.0,30.0,3.0,0.0
177.0,30.0,3.0,0.0
177.0,30.0,3.0,0.0
177.0,30.0,3.0,0.0
177.0,29.0,4.0,0.0
177.0,29.0,4.0,0.0
177.0,28.0,5.0,0.0
177.0,28.0,5.0,0.0
176.0,29.0,5.0,0.0
176.0,29.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
175.0,30.0,5.0,0.0
173.0,32.0,5.0,0.0
173.0,32.0,5.0,0.0
173.0,32.0,5.0,0.0
173.0,32.0,5.0,0.0
173.0,32.0,5.0,0.0
172.0,33.0,5.0,0.0
172.0,33.0,5.0,0.0
172.0,33.0,5.0,0.0
172.0,33.0,5.0,0.0
172.0,33.0,5.0,0.0
172.0,32.0,6.0,0.0
172.0,32.0,6.0,0.0
172.0,32.0,6.0,0.0
171.0,33.0,6.0,0.0
171.0,33.0,6.0,0.0
171.0,32.0,7.0,0.0
171.0,32.0,7.0,0.0
171.0,32.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
170.0,33.0,7.0,0.0
169.0,34.0,7.0,0.0
169.0,34.0,7.0,0.0
169.0,34.0,7.0,0.0
168.0,35.0,7.0,0.0
168.0,35.0,7.0,0.0
167.0,36.0,7.0,1.0
167.0,36.0,7.0,1.0
166.0,37.0,7.0,1.0
165.0,38.0,7.0,1.0
165.0,38.0,7.0,1.0
165.0,38.0,7.0,1.0
